# 뱅크1(필드 전용 폰트) 판독 — 등장 빈도 상위 48개.
# 키는 12x12 셀 값의 해시 앞 12자리다. 뱅크1 인덱스는 필드마다 뜻이 달라
# 키가 될 수 없다. 같은 글자는 어느 필드에 실려도 비트맵이 같다.
#
# 글리프 모양과 **실제 대사 문맥**을 함께 보고 읽었다. 문맥이 더 강했다.
#   02567fa97c13 은 모양만 보면 儀 같으나 「僕の一生こそ」「アレだ、僕は…」
#     「君の頭、僕がよくして」 세 문맥이 전부 僕 이라야 말이 된다.
#   93841316e47e 은 昔 이 아니라 替 다. 「着替え」가 두 번 나온다.
#     替 의 윗부분은 夫 둘이고 昔 은 廿 하나다.
#   13338247785b 張 과 e024059afd6b 拡 은 「拡張」으로 짝을 이룬다.
#   6ce3c8d6ad61 【 은 「セーブポイント」 앞, 4dd31bcaf996 】 은 뒤에 온다.
4dd31bcaf996	】
6ce3c8d6ad61	【
d845e89829a9	戻
2514b6c58c9e	日
c8247c68d06a	■
f2c4ec627e43	徒
e0b37d82aba0	a
5f1186936a69	様
7365fec09b35	旅
a0f9dd56944c	委
f9092957d0da	o
2b385f70083a	年
6185aa965c05	t
f6415d84bc45	送
2dd2b0a5e62b	令
13338247785b	張
867aac903783	任
c39d1285a5a0	◎
3e5685807272	服
8859296328c2	仕
41fbbf9b3774	i
50a2b7d762ce	s
f4f2c328a291	奴
58bc73303ad5	考
3b7617643a73	派
5d762c8350b1	n
9927efedfe4c	到
9f686a8c338c	彼
d9b3ce3be515	夫
02567fa97c13	僕
21e450c22889	坊
84fa0ee74c29	護
c17c341d4175	丈
c5a89346088b	r
36d440cda7c6	u
d9a4a7249624	衛
93841316e47e	替
d5635be20eea	父
9a903cd71b36	観
84b3a1d867ac	□
8bb0ca5b5cfa	登
e024059afd6b	拡
40a987c769aa	飲
6ebc75548bea	緒
7fa007bc1f42	若
c56936d53f76	輩
c7adbdbee68d	◆
e75db7697ab5	然
