# 뱅크1 — 번역문에 {b1:N} 구멍을 내던 도형 85개
# 시트를 눈으로 읽고 문맥으로 교차검증했다. 문맥이 눈을 8곳 뒤집었다:
#   危(忘 아님) 噂(嘩) 遅(運) 慮(虚) 雇(屋) 嬢(壊) 孝(幸) 暖(曖)
#   絵 는 필드95 의 가나-한자 대응표(4Dえ絵)로, 旨 는 문장 전체로 확정했다
87a55a09d586	読
316ece956d46	酒
fc64c93aaa9d	母
b019a47a3528	起
33bb3f662d6e	夜
99755a1cc97f	付
aa59da926e79	遊
72fd9806629b	盛
1fe4787e04e3	屈
b6a81bce4e3a	昔
1b3cf2a3cd60	案
7d365e4d182c	親
05ba12e9242d	色
ae7b46b8bd14	娘
b27a84f46a7d	勉
7222f0687778	嫌
768ec84021f2	従
fc1baadeda54	絵
1f2a5b80db2f	腹
2cc261c5474c	達
5b978b1e65a3	危
bde57e618e35	困
c851731170b1	描
8c6b88a0b96b	険
54fccc7a3e25	勢
2f4c782e6f53	噂
c999b7ca1598	和
d9e1012eef84	払
1e68c6c73265	途
7eb32b651603	答
aa2e1ab5b953	納
dddc0cd499cf	担
4aa84b49a60b	熱
63b52f1b49d2	朝
bab011f78d09	拾
722889265c8d	悲
8514116e30e4	遅
9b4fb9e1fb38	慮
f1c6ae3af254	頂
5f418fd4436b	汚
72ffaeed2a1a	酔
9fedb08c4697	病
a430579b45ff	夏
d6cf46563959	省
d6ff3b87cfcc	冒
dae31b9198f7	雇
deba871dc5e8	嬢
fc759cd3eadb	央
25a47b4591a8	監
512f579acefd	趣
51e4102fe254	域
84c086020b46	杯
98c930d6b6a2	謝
b51fb8d06eeb	品
cff8ac4f37e4	為
e3d1c0378d3c	魅
f31791901b92	勇
30aea12173d2	脇
3e1152fc8797	怯
4c895b749a6a	週
7491744e5dd7	採
dbfda857357d	慢
fad075929b9e	春
0a7fa846017d	卑
836de7173bb7	惜
ceb6b23c10fb	泳
fa02c3b03900	産
19e183b82bf3	臆
1af5c39d3a79	妻
1cb25c9f2d16	券
28c5724ae53c	孝
9a9afd82c491	秋
ca0f43559e4d	崖
dd7751f8b607	暖
de39289a539b	晩
17d43b0b6886	涯
27dd535c13bb	貯
2fbddb3e8c01	溺
447e3672517e	冊
5f99a59f154d	旨
60db0dcbacad	孫
7437cd44f800	尻
82a01e079167	漬
87151b65270d	財
b15053e2cb07	貰
# 2차 — ko 에는 안 보였지만 원문에 남아 있던 자리 (번역기가 우연히 맞게 채운 곳)
0e3369063001	標
bf388b7532c9	勘
5aa1b4ff1c21	静
a7e93e39cd4e	狩
b9c9aef0e4f3	似
